@id,@lon,@lat,name
170736221,21.4147433,41.9882668,
170736222,21.4131990,41.9887667,
170736223,21.4126752,41.9891485,
170736224,21.4122333,41.9895058,
170736226,21.4117612,41.9897929,
170736227,21.4113568,41.9900618,
170736229,21.4113061,41.9914067,
170737056,21.4081387,41.9934766,
170738727,21.4238942,41.9922337,
170738728,21.4242986,41.9925368,
170738730,21.4244946,41.9929146,
170752537,21.4388221,41.9838606,
170752539,21.4377500,41.9856379,
170752542,21.4370910,41.9870355,
170752543,21.4366935,41.9878418,
170752828,21.4389682,41.9833061,
170752830,21.4391721,41.9821894,
170752831,21.4393111,41.9814769,
170753246,21.4404358,41.9814393,
170757481,21.4352989,41.9849333,
170805274,21.4257055,41.9986380,
170805275,21.4258885,41.9989352,
170805276,21.4265913,41.9997275,
170805930,21.4249692,41.9983163,
172132877,21.4329937,41.9892447,
172146047,21.4181595,41.9966994,
172146049,21.4179171,41.9972756,
172165119,21.4161784,41.9994010,
172170583,21.4200092,41.9975545,
172175473,21.4186522,41.9981076,
172176001,21.4215015,41.9981411,
172176628,21.4187473,41.9966762,
172177253,21.4218398,41.9968306,
172180422,21.4223522,41.9968250,
172191681,21.4234730,41.9968356,
172192342,21.4244256,41.9973166,
172192343,21.4238909,41.9976301,
172229912,21.4329061,41.9868826,
172229914,21.4333768,41.9860729,
172229915,21.4337188,41.9854557,
172229917,21.4343743,41.9843601,
172229918,21.4349970,41.9833439,
172229922,21.4351675,41.9828925,
172229925,21.4350915,41.9826743,
172229929,21.4351575,41.9820281,
172232403,21.4316720,41.9876164,
172232781,21.4310368,41.9869878,
172232891,21.4321843,41.9879146,
172232895,21.4319041,41.9878292,
172237329,21.4343927,41.9879396,
172251108,21.4403229,41.9902555,
172251109,21.4391593,41.9892234,
172256954,21.4432345,41.9929031,
172256956,21.4421673,41.9919461,
172256957,21.4411769,41.9910356,
172315698,21.4512455,41.9880250,
293004365,21.4183664,42.0123570,
293004368,21.4176204,42.0126226,
